d13C,d15N,Genotype,Species
-16.4,6.8,PA22,Pocillopora acuta
-16.5,6.7,PA21,Pocillopora acuta
-16,6.6,PA11,Pocillopora acuta
-16.3,7.2,PA19,Pocillopora acuta
-16.7,6.7,PA19,Pocillopora acuta
-16.3,6.1,PA18,Pocillopora acuta
-16,6.7,PA13,Pocillopora acuta
-16.3,6.8,PA19,Pocillopora acuta
-15.8,6.6,PA13,Pocillopora acuta
-16,6.8,PA18,Pocillopora acuta
-16.6,6.2,PA18,Pocillopora acuta
-15.9,7.2,PA21,Pocillopora acuta
-16,6.7,PA13,Pocillopora acuta
-16.4,6.2,PA18,Pocillopora acuta
-15.9,6.9,PA21,Pocillopora acuta
-15.8,6.8,PA11,Pocillopora acuta
-15.2,7,PA22,Pocillopora acuta
-15.5,6.5,PA22,Pocillopora acuta
-15.2,7.7,PA22,Pocillopora acuta
-16.7,6.2,PA11,Pocillopora acuta
