Location,lat,lon,CowTagID,Tide,Day_Night,Season,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,NNP_umolL,Ammonia_umolL
Varari,-17.53975298,-149.900506,V1,High,Day,Dry,36.45,28.02,2309.516077,8.05660463885474,0.2,1.69,0.5,2.5,0.35
Varari,-17.53975298,-149.900506,V1,High,Night,Dry,36.41,27.1,2332.964767,8.029733014285924,0.21,0.91,0.53,2.523809523809524,0.32
Varari,-17.53975298,-149.900506,V1,Low,Night,Dry,36.22,28.44,2339.396163,8.065993322640152,0.23,5.11,0.84,3.652173913043478,0.42
Varari,-17.53975298,-149.900506,V1,Low,Day,Dry,36.52,27.26,2377.029989,8.014044470618156,0.22,2.29,0.68,3.0909090909090913,0.52
Varari,-17.53989003,-149.900519,V2,High,Day,Dry,36.4,27.92,2353.477084,8.04889954812155,0.2,1.29,0.57,2.8499999999999996,0.26
Varari,-17.53989003,-149.900519,V2,High,Night,Dry,36.4,27.15,2328.302637,8.021270681984175,0.21,0.92,0.61,2.9047619047619047,0.71
Varari,-17.53989003,-149.900519,V2,Low,Night,Dry,36.09,28.47,2346.594909,8.05555174101946,0.26,5.76,1.05,4.038461538461538,0.31
Varari,-17.53989003,-149.900519,V2,Low,Day,Dry,36.34,27.36,2365.03174,8.014612800858368,0.2,2.06,0.62,3.0999999999999996,2.4
Varari,-17.54012598,-149.90056,V3,High,Day,Dry,36.41,27.76,2351.907643,8.047115606226054,0.2,1.56,0.48,2.4,0.34
Varari,-17.54012598,-149.90056,V3,High,Night,Dry,NA,NA,NA,NA,0.22,1.2,0.37,1.6818181818181819,0.28
Varari,-17.54012598,-149.90056,V3,Low,Night,Dry,36.35,28.31,2345.266347,8.069751700432176,0.24,3.38,0.82,3.4166666666666665,0.39
Varari,-17.54012598,-149.90056,V3,Low,Day,Dry,36.52,27.27,2380.835159,8.029250889241016,0.19,1.26,0.56,2.947368421052632,0.46
Varari,-17.54024902,-149.900454,V4,High,Day,Dry,36.46,27.82,2320.14392,8.04529859172526,0.21,0.84,0.4,1.9047619047619049,0.32
Varari,-17.54024902,-149.900454,V4,High,Night,Dry,36.49,27.1,2331.89014,8.034426484034048,0.22,0.85,0.42,1.909090909090909,0.3
Varari,-17.54024902,-149.900454,V4,Low,Night,Dry,36.4,28.4,2325.926623,8.070973742992923,0.24,3.01,0.65,2.7083333333333335,0.5
Varari,-17.54024902,-149.900454,V4,Low,Day,Dry,36.53,27.39,2362.8142,8.044605893390623,0.24,1.55,1.06,4.416666666666667,1.07
Varari,-17.54025003,-149.900336,V5,High,Day,Dry,36.5,27.69,2351.4013,8.054822604220275,0.2,0.86,0.47,2.3499999999999996,0.24
Varari,-17.54025003,-149.900336,V5,High,Night,Dry,36.46,26.97,2321.38849,8.037827757584502,0.19,0.89,0.48,2.526315789473684,0.04
Varari,-17.54025003,-149.900336,V5,Low,Night,Dry,36.23,28.28,2360.225293,8.061337258650727,0.25,5.43,1.05,4.2,0.46
Varari,-17.54025003,-149.900336,V5,Low,Day,Dry,36.39,27.25,2366.352432,8.030467444184145,0.2,1.05,0.47,2.3499999999999996,0.31
Varari,-17.54002498,-149.900106,V6,High,Day,Dry,36.49,27.91,2322.780484,8.059622827798533,0.21,2.13,0.45,2.142857142857143,0.4
Varari,-17.54002498,-149.900106,V6,High,Night,Dry,36.38,27.24,2331.278996,8.028682838584693,0.18,1.05,0.51,2.8333333333333335,0.12
