CowTagID,lat,lon,alphabetical,pc1
V13,-17.540749,-149.899133,T,-0.6096007136164967
VSEEP,-17.540302,-149.899331,SEEP,10.935979235335129
V14,-17.54039696,-149.899396,A,-0.596194825647788
V20,-17.54045103,-149.899509,B,-0.6730474868637631
V17,-17.54031901,-149.899572,C,-0.5626276878073675
V9,-17.540245,-149.899765,D,-0.5771953250524313
V10,-17.54030501,-149.899788,E,-0.6422195044019001
V19,-17.54050802,-149.89978,F,-0.7685189985640513
V18,-17.54019697,-149.899906,G,-0.4246460211776389
V8,-17.54014903,-149.899896,H,-0.4170985548065067
V7,-17.54004803,-149.899985,I,-0.4507525806207118
V11,-17.54019303,-149.900068,J,-0.5167282211530472
V12,-17.54030996,-149.900112,K,-0.6207952269966731
V6,-17.54002498,-149.900106,L,-0.40059465842675257
V15,-17.54014299,-149.900183,M,-0.4930075819870568
V5,-17.54025003,-149.900336,N,-0.539852991320978
V4,-17.54024902,-149.900454,O,-0.6133728344273289
V16,-17.54029797,-149.900492,P,-0.7296393906376133
V3,-17.54012598,-149.90056,Q,-0.5043921981997651
V2,-17.53989003,-149.900519,R,-0.4172993269094301
V1,-17.53975298,-149.900506,S,-0.378395106717718
