"","CowTagID","pc1","Pin_Number"
"1","V1",-2.19649686850542,1
"2","V10",1.551172887591,10
"3","V11",-1.5190036267665,11
"4","V12",1.16586580801182,12
"5","V13",1.36777440825369,13
"6","V14",0.644483180274404,14
"7","V15",-1.63923785839317,15
"8","V16",3.41020001029473,16
"9","V17",0.39832467164084,17
"10","V18",-2.68694394491567,18
"11","V19",3.50514223081959,19
"12","V2",-2.19012591813476,2
"13","V20",2.16752870704982,20
"14","V3",0.15122394439168,3
"15","V4",0.639896585296094,4
"16","V5",-0.0151341493242588,5
"17","V6",-2.04020618098347,6
"18","V7",-2.38910216531435,7
"19","V8",-1.78042632100493,8
"20","V9",1.45506459971886,9
